Dummy_Name,Biological_Name
gene_0,?
gene_1,?
gene_2,?
gene_3,?
gene_4,?
gene_5,?
gene_6,?
gene_7,?
gene_8,?
gene_9,?
gene_10,?
gene_11,?
gene_12,?
gene_13,?
gene_14,?
gene_15,?
gene_16,?
gene_17,?
gene_18,?
gene_19,?
gene_20,?
gene_21,?
gene_22,?
gene_23,?
gene_24,?
gene_25,?
gene_26,?
gene_27,?
gene_28,?
gene_29,A1BG
gene_30,A1CF
gene_31,A2BP1
gene_32,A2LD1
gene_33,A2ML1
gene_34,A2M
gene_35,A4GALT
gene_36,A4GNT
gene_37,AAA1
gene_38,AAAS
gene_39,AACSL
gene_40,AACS
gene_41,AADACL2
gene_42,AADACL3
gene_43,AADACL4
gene_44,AADAC
gene_45,AADAT
gene_46,AAGAB
gene_47,AAK1
gene_48,AAMP
gene_49,AANAT
gene_50,AARS2
gene_51,AARSD1
gene_52,AARS
gene_53,AASDHPPT
gene_54,AASDH
gene_55,AASS
gene_56,AATF
gene_57,AATK
gene_58,ABAT
gene_59,ABCA10
gene_60,ABCA11P
gene_61,ABCA12
gene_62,ABCA13
gene_63,ABCA17P
gene_64,ABCA1
gene_65,ABCA2
gene_66,ABCA3
gene_67,ABCA4
gene_68,ABCA5
gene_69,ABCA6
gene_70,ABCA7
gene_71,ABCA8
gene_72,ABCA9
gene_73,ABCB10
gene_74,ABCB11
gene_75,ABCB1
gene_76,ABCB4
gene_77,ABCB5
gene_78,ABCB6
gene_79,ABCB7
gene_80,ABCB8
gene_81,ABCB9
gene_82,ABCC10
gene_83,ABCC11
gene_84,ABCC12
gene_85,ABCC13
gene_86,ABCC1
gene_87,ABCC2
gene_88,ABCC3
gene_89,ABCC4
gene_90,ABCC5
gene_91,ABCC6P1
gene_92,ABCC6P2
gene_93,ABCC6
gene_94,ABCC8
gene_95,ABCC9
gene_96,ABCD1
gene_97,ABCD2
gene_98,ABCD3
gene_99,ABCD4
gene_100,ABCE1
gene_101,ABCF1
gene_102,ABCF2
gene_103,ABCF3
gene_104,ABCG1
gene_105,ABCG2
gene_106,ABCG4
gene_107,ABCG5
gene_108,ABCG8
gene_109,ABHD10
gene_110,ABHD11
gene_111,ABHD12B
gene_112,ABHD12
gene_113,ABHD13
gene_114,ABHD14A
gene_115,ABHD14B
gene_116,ABHD15
gene_117,ABHD1
gene_118,ABHD2
gene_119,ABHD3
gene_120,ABHD4
gene_121,ABHD5
gene_122,ABHD6
gene_123,ABHD8
gene_124,ABI1
gene_125,ABI2
gene_126,ABI3BP
gene_127,ABI3
gene_128,ABL1
gene_129,ABL2
gene_130,ABLIM1
gene_131,ABLIM2
gene_132,ABLIM3
gene_133,ABO
gene_134,ABP1
gene_135,ABRA
gene_136,ABR
gene_137,ABT1
gene_138,ABTB1
gene_139,ABTB2
gene_140,ACAA1
gene_141,ACAA2
gene_142,ACACA
gene_143,ACACB
gene_144,ACAD10
gene_145,ACAD11
gene_146,ACAD8
gene_147,ACAD9
gene_148,ACADL
gene_149,ACADM
gene_150,ACADSB
gene_151,ACADS
gene_152,ACADVL
gene_153,ACAN
gene_154,ACAP1
gene_155,ACAP2
gene_156,ACAP3
gene_157,ACAT1
gene_158,ACAT2
gene_159,ACBD3
gene_160,ACBD4
gene_161,ACBD5
gene_162,ACBD6
gene_163,ACBD7
gene_164,ACCN1
gene_165,ACCN2
gene_166,ACCN3
gene_167,ACCN4
gene_168,ACCN5
gene_169,ACCSL
gene_170,ACCS
gene_171,ACD
gene_172,ACE2
gene_173,ACER1
gene_174,ACER2
gene_175,ACER3
gene_176,ACE
gene_177,ACHE
gene_178,ACIN1
gene_179,ACLY
gene_180,ACMSD
gene_181,ACN9
gene_182,ACO1
gene_183,ACO2
gene_184,ACOT11
gene_185,ACOT12
gene_186,ACOT13
gene_187,ACOT1
gene_188,ACOT2
gene_189,ACOT4
gene_190,ACOT6
gene_191,ACOT7
gene_192,ACOT8
gene_193,ACOT9
gene_194,ACOX1
gene_195,ACOX2
gene_196,ACOX3
gene_197,ACOXL
gene_198,ACP1
gene_199,ACP2
gene_200,ACP5
gene_201,ACP6
gene_202,ACPL2
gene_203,ACPP
gene_204,ACPT
gene_205,ACRBP
gene_206,ACRC
gene_207,ACRV1
gene_208,ACR
gene_209,ACSBG1
gene_210,ACSBG2
gene_211,ACSF2
gene_212,ACSF3
gene_213,ACSL1
gene_214,ACSL3
gene_215,ACSL4
gene_216,ACSL5
gene_217,ACSL6
gene_218,ACSM1
gene_219,ACSM2A
gene_220,ACSM2B
gene_221,ACSM3
gene_222,ACSM4
gene_223,ACSM5
gene_224,ACSS1
gene_225,ACSS2
gene_226,ACSS3
gene_227,ACTA1
gene_228,ACTA2
gene_229,ACTBL2
gene_230,ACTB
gene_231,ACTC1
gene_232,ACTG1
gene_233,ACTG2
gene_234,ACTL6A
gene_235,ACTL6B
gene_236,ACTL7A
gene_237,ACTL7B
gene_238,ACTL8
gene_239,ACTL9
gene_240,ACTN1
gene_241,ACTN2
gene_242,ACTN3
gene_243,ACTN4
gene_244,ACTR10
gene_245,ACTR1A
gene_246,ACTR1B
gene_247,ACTR2
gene_248,ACTR3B
gene_249,ACTR3C
gene_250,ACTR3
gene_251,ACTR5
gene_252,ACTR6
gene_253,ACTR8
gene_254,ACTRT1
gene_255,ACTRT2
gene_256,ACVR1B
gene_257,ACVR1C
gene_258,ACVR1
gene_259,ACVR2A
gene_260,ACVR2B
gene_261,ACVRL1
gene_262,ACY1
gene_263,ACY3
gene_264,ACYP1
gene_265,ACYP2
